,tgroup,key,value,description,embedding
75,,abandoned:*,,,"tensor([ 0.0144,  0.0116, -0.0108,  ...,  0.0189, -0.0484,  0.0464])"
84,restrictions,access,,For describing the legal accessibility of a feature,"tensor([-0.0003, -0.0007,  0.0012,  ...,  0.0162, -0.0301,  0.0338])"
97,,addr:*,,,"tensor([ 0.0220, -0.0347, -0.0116,  ...,  0.0239, -0.0272,  0.0319])"
100,addresses,addr:city,,The name of the largest settlement (city / town / other) that is included in the address.,"tensor([ 0.0225,  0.0219,  0.0059,  ...,  0.0377, -0.0079,  0.0001])"
130,addresses,addr:street,,"The street name that this address is (and any others in this location are) grouped by. This street name should match that of a nearby road, track or path.","tensor([ 0.0137, -0.0232, -0.0302,  ...,  0.0476, -0.0086,  0.0305])"
152,,aerialway:*,,,"tensor([ 0.0176, -0.0279, -0.0133,  ..., -0.0051, -0.0584,  0.0426])"
156,,aerodrome,,Type of airport. See key:aerodrome:type.,"tensor([ 0.0261, -0.0123,  0.0231,  ...,  0.0149, -0.0687,  0.0601])"
170,names,alt_name,,"Alternative name or names by which the feature is known in the local language; for names in other languages, use name:xy where xy is the ISO 639 language code; not to be confused with name:alt, which is for the name in the Altai language","tensor([-0.0041,  0.0161, -0.0078,  ...,  0.0086, -0.0292,  0.0222])"
184,annotations,architect,,Name of architect.,"tensor([-0.0015,  0.0061, -0.0343,  ...,  0.0064, -0.0053,  0.0480])"
186,properties,area,,Indicates whether a closed way represents an area or just a circular way.,"tensor([ 0.0460,  0.0103,  0.0080,  ...,  0.0020, -0.0328,  0.0370])"
190,,artist,,,"tensor([ 0.0146,  0.0123, -0.0020,  ..., -0.0013, -0.0080,  0.0381])"
213,restrictions,atv,,Access for wheeled vehicles 50 inches (1.27m) or less in width,"tensor([-0.0106,  0.0264,  0.0128,  ...,  0.0010, -0.0733,  0.0276])"
216,,authentication:*,,,"tensor([-0.0077, -0.0342, -0.0119,  ...,  0.0184, -0.0300,  0.0212])"
237,restrictions,barrier,,A barrier is a physical structure which blocks or impedes movement.,"tensor([ 0.0198, -0.0155, -0.0472,  ...,  0.0113, -0.0217,  0.0474])"
253,amenities,bench,,Indicates the presence of an associated bench.,"tensor([ 0.0356, -0.0338,  0.0038,  ...,  0.0024, -0.0445,  0.0546])"
275,accessibility,blind,,Indicates whether a place can be used by people with visual impairment.,"tensor([ 0.0182, -0.0034, -0.0131,  ...,  0.0240, -0.0284,  0.0598])"
278,restrictions,boat,,Access permission for boats,"tensor([-0.0210, -0.0076,  0.0099,  ...,  0.0033, -0.0370,  0.0542])"
307,bridges,bridge,,"A bridge is an artificial construction that spans features such as roads, railways, paths, waterways or valleys and carries a road, railway or other feature.","tensor([ 0.0254,  0.0153, -0.0400,  ...,  0.0012, -0.0301,  0.0512])"
322,buildings,building,,"To mark the outline of a building, a man-made structure with a roof, standing more or less permanently in one place.","tensor([ 0.0439,  0.0086, -0.0337,  ...,  0.0120, -0.0305,  0.0748])"
323,,building:*,,,"tensor([ 0.0233, -0.0117, -0.0370,  ..., -0.0025, -0.0358,  0.0716])"
337,buildings,building:levels,,The number of above ground levels in the building facades.,"tensor([ 0.0296, -0.0182, -0.0234,  ...,  0.0039, -0.0178,  0.0523])"
363,restrictions,bus,,"Legal access permissions for public transport buses, OR the type of public transport vehicle.","tensor([ 0.0130, -0.0204, -0.0134,  ..., -0.0105, -0.0297,  0.0459])"
364,restrictions,bus:lanes,,per-lane bus access details,"tensor([ 0.0257, -0.0241, -0.0215,  ...,  0.0048, -0.0448,  0.0233])"
371,buses,busway,,Describes the characteristics of a busway.,"tensor([ 0.0309, -0.0277, -0.0303,  ...,  0.0085, -0.0410,  0.0563])"
398,restrictions,canoe,,"Access permission for canoes, kayaks, rowboats and other small boats without a motor or sail","tensor([-0.0104,  0.0299,  0.0135,  ...,  0.0203, -0.0536,  0.0408])"
400,,capacity:*,,,"tensor([ 0.0161,  0.0033, -0.0296,  ...,  0.0119, -0.0059,  0.0409])"
418,,car,,,"tensor([-0.0061, -0.0068, -0.0061,  ...,  0.0152, -0.0346,  0.0804])"
