size,dataset,model,best_mae,training_time,lr,lr_min,weight_decay,date,config
huge,bridge,Tagformer-P,0.03166782483458519,11m 40s,0.0067051824202799225,7.514175711585728e-05,0.0009645500052158861,2025-01-10,remote-logs/logs/train/2025-01-10/22-35-30_tagformer_lr_opt_tagformer/2_tagformer_bridge_cheat/hydra/config.yaml
huge,bridge,TagCountMLP,0.04747753217816353,8m 37s,0.00993555570945232,4.232066549034979e-05,3.757194952815567e-06,2025-01-11,remote-logs/logs/train/2025-01-11/01-01-36_lr_opt_tagcountencoder/7_tagcountencoder_bridge_cheat/hydra/config.yaml
huge,bridge,Tagformer,0.05028049275279045,24m 38s,0.007362158568200267,4.232066549034979e-05,6.153481869307321e-06,2025-01-10,remote-logs/logs/train/2025-01-10/18-21-10_tagformer_lr_opt_tagformer/7_tagformer_bridge_cheat/hydra/config.yaml
huge,bridge,Tagformer-S,0.06366904079914093,37m 38s,0.0058933877762760226,5.995892559494591e-05,0.00020535571827448668,2025-01-10,remote-logs/logs/train/2025-01-10/10-29-24_tagformer_lr_opt_tagformer/1_tagformer_bridge_cheat/hydra/config.yaml
huge,bridge,Tagformer-SP,0.06599098443984985,39m 30s,0.009579917154264024,9.655045506171441e-05,0.0005256784982658407,2025-01-10,remote-logs/logs/train/2025-01-10/13-39-06_tagformer_lr_opt_tagformer/4_tagformer_bridge_cheat/hydra/config.yaml
huge,bridge,TagPool-MLP,0.09941065311431885,2m 24s,,,,2025-01-14,remote-logs/logs/pytorch/2025-01-14/bridge/entity_tag_avg/entity_tag_avg_mlpc/hydra/config.yaml
huge,bridge,TagPool-LIN,0.11553430557250977,2m 18s,,,,2025-01-13,remote-logs/logs/pytorch/2025-01-13/bridge/entity_tag_avg/entity_tag_avg_linc/hydra/config.yaml
huge,bridge,(M) Tagformer-P,0.13346436619758606,29m 7s,0.0006351152427934166,3.1115449545867236e-05,0.000613718392498594,2025-01-11,remote-logs/logs/train/2025-01-11/12-29-35_tagformer_lr_opt_tagformer/6_tagformer_bridge/hydra/config.yaml
huge,bridge,(M) Tagformer-SP,0.13711591064929962,30m 58s,0.0006968505158804541,2.1885413500596173e-06,0.00047092856097572216,2025-01-11,remote-logs/logs/train/2025-01-11/06-24-43_tagformer_lr_opt_tagformer/5_tagformer_bridge/hydra/config.yaml
huge,bridge,(M) Tagformer,0.1564749777317047,26m 51s,0.0015662542587867056,3.3801309645904495e-05,0.00034353488344376535,2025-01-11,remote-logs/logs/train/2025-01-11/09-43-28_tagformer_lr_opt_tagformer/7_tagformer_bridge/hydra/config.yaml
huge,bridge,TagformerLMAE-MLP,0.16535083949565887,1m 56s,,,,2025-01-15,remote-logs/logs/pytorch/2025-01-15/bridge/tagformer_lmae/tagformer_lmae_mlpc/hydra/config.yaml
huge,bridge,geojepa_t_jan06-T-MLP,0.1732458621263504,2m 24s,,,,2025-01-06,remote-logs/logs/pytorch/2025-01-06/bridge/geojepa_t_jan06/geojepa_t_jan06_mlpc/hydra/config.yaml
huge,bridge,(M) Tagformer-S,0.17501282691955566,33m 42s,0.0006325206371948675,1.011065130414658e-05,0.00010687075402008851,2025-01-11,remote-logs/logs/train/2025-01-11/02-30-12_tagformer_lr_opt_tagformer/6_tagformer_bridge/hydra/config.yaml
huge,bridge,(M) TagPool-MLP,0.18165528774261475,1m 35s,,,,2025-01-27,remote-logs/logs/pytorch/2025-01-27/bridge/entity_tag_avg_masked_bridge/entity_tag_avg_masked_bridge_mlpc/hydra/config.yaml
huge,bridge,geojepa_t_e2-T-MLP,0.1825864613056183,2m 0s,,,,2025-01-21,remote-logs/logs/pytorch/2025-01-21/bridge/geojepa_t_e2/geojepa_t_e2_mlpc/hydra/config.yaml
huge,bridge,geojepa_t_e1-T-MLP,0.18914711475372314,0m 34s,,,,2025-01-21,remote-logs/logs/pytorch/2025-01-21/bridge/geojepa_t_e1/geojepa_t_e1_mlpc/hydra/config.yaml
huge,bridge,geojepa_t_jan06-T-LIN,0.189703106880188,2m 20s,,,,2025-01-06,remote-logs/logs/pytorch/2025-01-06/bridge/geojepa_t_jan06/geojepa_t_jan06_linc/hydra/config.yaml
huge,bridge,geojepa_t_e1-T-LIN,0.192705437541008,1m 58s,,,,2025-01-21,remote-logs/logs/pytorch/2025-01-21/bridge/geojepa_t_e1/geojepa_t_e1_linc/hydra/config.yaml
huge,bridge,(M) geojepa_t_e1-T-MLP,0.19453465938568115,0m 37s,,,,2025-01-27,remote-logs/logs/pytorch/2025-01-27/bridge/geojepa_t_e1_masked_bridge/geojepa_t_e1_masked_bridge_mlpc/hydra/config.yaml
huge,bridge,(M) geojepa_t_e1-T-LIN,0.1946466565132141,1m 21s,,,,2025-01-27,remote-logs/logs/pytorch/2025-01-27/bridge/geojepa_t_e1_masked_bridge/geojepa_t_e1_masked_bridge_linc/hydra/config.yaml
huge,bridge,geojepa_t_300e_jan13-T-MLP,0.19837652146816254,2m 6s,,,,2025-01-13,remote-logs/logs/pytorch/2025-01-13/bridge/geojepa_t_300e_jan13/geojepa_t_300e_jan13_mlpc/hydra/config.yaml
huge,bridge,geojepa_t_jan12_150e-T-MLP,0.20060047507286072,1m 59s,,,,2025-01-12,remote-logs/logs/pytorch/2025-01-12/bridge/geojepa_t_jan12_150e/geojepa_t_jan12_150e_mlpc/hydra/config.yaml
huge,bridge,(M) TagPool-LIN,0.20159032940864563,3m 35s,,,,2025-01-14,remote-logs/logs/pytorch/2025-01-14/bridge/entity_tag_avg_masked_bridge/entity_tag_avg_masked_bridge_linc/hydra/config.yaml
